
# QPROP Version 1.22
# 
# APC 5x4E X-Prop                                                                 
# 
# T-motor F40                                                                     
#   0.82000E-01  Rmotor (Ohms)                  
#   0.70000      Io     (Amps)                  
#    1600.0      Kv     (rpm/Volt)              
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
    5.000  0.3050E+05  0.000   20.93      0.2372       757.6      22.379   40.4420   0.8371   0.1382   0.02465  0.6559E-01  0.1170E-01  47.1822   0.1156   905.0       104.7       1.0265  0.2020E-01
    7.000  0.3050E+05  0.000   20.35      0.2352       751.1      22.351   40.1031   0.8380   0.1896   0.03451  0.6376E-01  0.1160E-01  44.6870   0.1589   896.3       142.4       0.9939  0.1930E-01
    9.000  0.3050E+05  0.000   19.73      0.2325       742.6      22.314   39.6582   0.8392   0.2390   0.04438  0.6180E-01  0.1147E-01  42.2176   0.2006   885.0       177.5       0.9593  0.1841E-01
   11.000  0.3050E+05  0.000   19.06      0.2293       732.3      22.270   39.1142   0.8407   0.2863   0.05424  0.5972E-01  0.1131E-01  39.7677   0.2407   871.1       209.6       0.9226  0.1779E-01
   13.000  0.3050E+05  0.000   18.35      0.2255       720.3      22.218   38.4852   0.8424   0.3313   0.06410  0.5751E-01  0.1113E-01  37.3453   0.2791   855.1       238.6       0.8842  0.1754E-01
   15.000  0.3050E+05  0.000   17.63      0.2213       706.9      22.161   37.7817   0.8443   0.3741   0.07396  0.5524E-01  0.1092E-01  34.9739   0.3159   837.3       264.5       0.8451  0.1731E-01
   17.000  0.3050E+05  0.000   16.89      0.2166       692.0      22.096   36.9993   0.8464   0.4149   0.08382  0.5291E-01  0.1069E-01  32.6541   0.3512   817.6       287.1       0.8053  0.1711E-01
   19.000  0.3050E+05  0.000   16.12      0.2115       675.4      22.025   36.1334   0.8487   0.4535   0.09368  0.5052E-01  0.1043E-01  30.3865   0.3849   795.9       306.3       0.7648  0.1694E-01
   21.000  0.3050E+05  0.000   15.34      0.2058       657.3      21.947   35.1796   0.8513   0.4901   0.10354  0.4806E-01  0.1015E-01  28.1715   0.4172   772.1       322.1       0.7236  0.1679E-01

